ID Empleado,Nombre,Apellido,Edad,Género,Área,Puesto,Tipo de Contrato,Fecha de Ingreso,Sueldo,Ciudad,Modalidad de Trabajo,Estado,Evaluación de Desempeño,pred_rf,pred_svm
E0028,Elba,Cortes,25,Femenino,Producción,Supervisor de Producción,Plazo Fijo,2023-08-07,1965.59,Tacna,Remoto,Activo,39.58,1,1
E0029,Bienvenida,Castrillo,39,Femenino,Logística,Almacenero,Indeterminado,2021-03-18,4079.28,Lima,Remoto,Cesado,21.32,1,1
E0030,Andrés,Sebastián,36,Masculino,Logística,Almacenero,Plazo Fijo,2020-10-06,2374.89,Piura,Remoto,Activo,70.35,0,0
E0031,Basilio,Lladó,59,Masculino,Producción,Supervisor de Producción,Indeterminado,2019-10-01,1455.18,Cusco,Mixto,Activo,88.97,0,0
E0032,Bonifacio,Bueno,55,Masculino,Logística,Supervisor de Logística,Plazo Fijo,2022-11-13,2668.4,Piura,Mixto,Activo,25.11,0,0
E0033,Purificación,Torralba,23,Masculino,Producción,Jefe de Línea,Prácticas,2022-06-16,947.98,Cusco,Presencial,Activo,63.71,0,0
E0034,Efraín,Roura,36,Masculino,Producción,Jefe de Línea,Prácticas,2018-01-07,979.03,Iquitos,Mixto,Cesado,88.31,0,0
E0035,Leire,Armengol,29,Masculino,Logística,Coordinador de Transporte,Plazo Fijo,2024-12-03,1576.15,Trujillo,Remoto,Activo,93.31,0,0
E0036,Maximino,Jara,22,Femenino,Marketing,Coordinador de Producto,Plazo Fijo,2022-01-31,1451.16,Piura,Mixto,Activo,74.95,0,0
E0037,Pepe,Cortina,35,Masculino,Marketing,Diseñador Gráfico,Plazo Fijo,2020-07-05,4664.38,Lima,Presencial,Activo,41.17,0,0
E0038,Lourdes,Marqués,35,Femenino,Marketing,Coordinador de Producto,Plazo Fijo,2022-05-15,5351.89,Arequipa,Remoto,Activo,81.66,0,0
E0039,Nicodemo,Doménech,49,Femenino,Logística,Almacenero,Plazo Fijo,2024-06-03,4276.37,Piura,Presencial,Activo,86.44,0,0
E0040,Loida,Español,37,Femenino,Producción,Supervisor de Producción,Plazo Fijo,2019-08-11,5904.43,Iquitos,Mixto,Activo,11.53,0,0
E0041,Rosa María,Batlle,36,Masculino,Recursos Humanos,Reclutador,Plazo Fijo,2024-10-05,3954.62,Lima,Presencial,Activo,31.37,0,0
E0042,Concepción,García,58,Masculino,TI,Analista de Sistemas,Plazo Fijo,2018-10-17,1155.04,Piura,Remoto,Cesado,92.56,0,0
E0043,Iris,Larrea,54,Masculino,Logística,Supervisor de Logística,Plazo Fijo,2022-06-25,5598.31,Arequipa,Mixto,Activo,12.46,0,0
E0044,Anastasio,Villalobos,39,Femenino,Producción,Jefe de Línea,Indeterminado,2023-11-05,4464.85,Tacna,Remoto,Cesado,66.49,0,0
E0045,Candelario,Almagro,44,Masculino,Recursos Humanos,Asistente de Bienestar,Indeterminado,2021-11-05,3708.04,Cusco,Remoto,Activo,21.02,1,1
E0046,Cloe,Piñol,57,Femenino,TI,Soporte Técnico,Plazo Fijo,2021-02-22,2013.47,Chiclayo,Mixto,Activo,95.98,0,0
E0047,Gabino,Gomez,30,Masculino,Logística,Coordinador de Transporte,Indeterminado,2019-10-03,5079.41,Tacna,Presencial,Activo,22.46,0,0
E0048,Reyna,Morata,32,Masculino,Finanzas,Analista Financiero,Indeterminado,2021-04-23,4029.16,Piura,Remoto,Activo,88.61,0,0
E0049,Belén,Bas,56,Masculino,Producción,Supervisor de Producción,Indeterminado,2023-07-18,2956.24,Iquitos,Remoto,Activo,0.55,1,1
E0050,Fernanda,Ferrándiz,26,Femenino,Marketing,Especialista en Marca,Indeterminado,2025-01-30,3756.05,Chiclayo,Presencial,Activo,80.14,0,0
E0051,Anastasia,Fabregat,53,Femenino,TI,Analista de Sistemas,Indeterminado,2023-02-06,3190.78,Iquitos,Mixto,Activo,47.47,0,0
E0052,Gustavo,Pons,36,Masculino,Producción,Jefe de Línea,Plazo Fijo,2023-01-09,2142.98,Chiclayo,Mixto,Cesado,28.57,0,0
E0053,Cintia,Abad,37,Femenino,Logística,Coordinador de Transporte,Plazo Fijo,2018-04-15,1694.71,Arequipa,Presencial,Activo,70.64,0,0
E0054,Berto,Carlos,24,Femenino,TI,Soporte Técnico,Plazo Fijo,2023-03-29,1245.69,Chiclayo,Remoto,Activo,76.98,0,0
E0055,María Jesús,Melero,21,Femenino,TI,Desarrollador Backend,Plazo Fijo,2018-04-01,4750.12,Tacna,Remoto,Activo,73.46,0,0
E0056,Mauricio,Casas,58,Masculino,TI,Desarrollador Backend,Plazo Fijo,2024-12-03,3392.2,Cusco,Remoto,Activo,67.91,0,0
E0057,Antonia,Colomer,45,Masculino,TI,Desarrollador Backend,Indeterminado,2023-03-30,3930.9,Lima,Remoto,Cesado,42.86,1,1
E0058,Erasmo,Andrade,49,Masculino,Finanzas,Contador,Plazo Fijo,2019-06-23,2003.12,Iquitos,Remoto,Activo,87.96,0,0
E0059,Martina,Sandoval,37,Femenino,Logística,Almacenero,Indeterminado,2025-04-01,4727.55,Chiclayo,Presencial,Activo,35.0,0,0
E0060,Albert,Cadenas,24,Masculino,Finanzas,Analista Financiero,Indeterminado,2023-04-25,4080.17,Piura,Presencial,Cesado,66.95,0,0
E0061,Alejandro,Haro,56,Masculino,TI,Analista de Sistemas,Indeterminado,2023-12-25,1780.69,Cusco,Remoto,Activo,16.38,1,1
E0062,Anabel,Castilla,39,Masculino,Recursos Humanos,Analista de RRHH,Plazo Fijo,2021-03-15,4364.15,Cusco,Mixto,Activo,71.5,0,0
E0063,Calixta,Tejera,24,Masculino,Finanzas,Jefe de Tesorería,Indeterminado,2021-04-12,3974.09,Cusco,Mixto,Activo,56.59,0,0
E0064,Lucía,Quesada,22,Femenino,Recursos Humanos,Reclutador,Plazo Fijo,2021-04-08,3495.22,Tacna,Presencial,Cesado,42.01,0,0
E0065,Salomón,Jordán,51,Masculino,TI,Soporte Técnico,Indeterminado,2022-06-30,1705.67,Chiclayo,Mixto,Activo,96.55,0,0
E0066,Cintia,Bejarano,37,Femenino,TI,Soporte Técnico,Indeterminado,2019-04-01,5248.19,Cusco,Remoto,Activo,45.08,1,1
E0067,África,Salazar,49,Femenino,Logística,Almacenero,Indeterminado,2018-05-09,1851.93,Chiclayo,Remoto,Activo,25.84,1,1
E0068,Néstor,Cabanillas,37,Femenino,Recursos Humanos,Analista de RRHH,Plazo Fijo,2024-02-18,2153.68,Piura,Presencial,Activo,75.82,0,0
E0069,Eustaquio,Molina,50,Femenino,TI,Desarrollador Backend,Indeterminado,2022-07-15,2053.49,Arequipa,Remoto,Activo,58.16,0,0
E0070,Tristán,Quintana,50,Femenino,TI,Analista de Sistemas,Plazo Fijo,2019-08-20,4493.47,Tacna,Remoto,Activo,23.05,1,1
E0071,Anselmo,Fabregat,32,Femenino,Finanzas,Jefe de Tesorería,Plazo Fijo,2025-02-04,2027.07,Trujillo,Presencial,Activo,58.96,0,0
E0072,Seve,Iborra,53,Femenino,Finanzas,Analista Financiero,Plazo Fijo,2022-10-30,2759.67,Cusco,Presencial,Cesado,53.41,0,0
E0073,Gema,Villanueva,37,Masculino,Finanzas,Jefe de Tesorería,Plazo Fijo,2023-12-28,5716.53,Cusco,Mixto,Cesado,1.23,0,0
E0074,Tecla,Lamas,38,Femenino,TI,Soporte Técnico,Plazo Fijo,2024-03-04,5825.07,Tacna,Presencial,Activo,47.77,0,0
E0075,Judith,Arias,24,Femenino,TI,Desarrollador Backend,Plazo Fijo,2024-12-01,1686.43,Lima,Presencial,Cesado,24.82,0,0
E0076,Trinidad,Ferrero,55,Femenino,Recursos Humanos,Asistente de Bienestar,Plazo Fijo,2021-03-19,2858.52,Piura,Mixto,Activo,58.85,0,0
E0077,Chus,Téllez,47,Femenino,Recursos Humanos,Asistente de Bienestar,Indeterminado,2022-02-25,5797.75,Lima,Mixto,Activo,20.78,0,0
E0078,Benigno,Vaquero,33,Femenino,Producción,Operario de Planta,Indeterminado,2020-03-28,1811.23,Trujillo,Presencial,Cesado,40.85,0,0
E0079,Carla,Blazquez,58,Femenino,Logística,Almacenero,Plazo Fijo,2018-04-01,4514.27,Piura,Remoto,Cesado,23.34,1,1
E0080,Maura,Heras,36,Masculino,TI,Desarrollador Backend,Plazo Fijo,2021-07-10,1685.38,Piura,Mixto,Activo,7.14,0,0
E0081,Rosario,Escudero,30,Femenino,Recursos Humanos,Asistente de Bienestar,Plazo Fijo,2019-11-24,1560.47,Cusco,Remoto,Activo,94.27,0,0
E0082,Leandra,Roldán,52,Femenino,TI,Desarrollador Backend,Plazo Fijo,2023-07-28,4654.09,Lima,Remoto,Cesado,22.89,1,1
E0083,Felicia,Garrido,56,Masculino,Producción,Jefe de Línea,Plazo Fijo,2020-01-25,3315.44,Lima,Presencial,Activo,18.15,0,0
E0084,José Ángel,Madrid,57,Femenino,Producción,Jefe de Línea,Plazo Fijo,2022-07-13,2694.16,Arequipa,Remoto,Activo,10.46,1,1
E0085,Máxima,Lucas,30,Femenino,TI,Analista de Sistemas,Plazo Fijo,2021-05-18,4289.3,Chiclayo,Remoto,Activo,55.01,0,0
E0086,Albino,Cámara,49,Masculino,Logística,Supervisor de Logística,Plazo Fijo,2022-11-21,5848.84,Tacna,Presencial,Activo,82.49,0,0
E0087,René,Hernández,20,Femenino,TI,Desarrollador Backend,Plazo Fijo,2020-11-23,2764.22,Piura,Mixto,Activo,76.0,0,0
E0088,Eladio,Hierro,33,Femenino,Recursos Humanos,Analista de RRHH,Plazo Fijo,2025-06-24,5395.89,Cusco,Remoto,Cesado,97.31,0,0
E0089,Alonso,Martí,58,Masculino,Producción,Operario de Planta,Prácticas,2019-10-14,999.33,Cusco,Mixto,Activo,22.47,0,0
E0090,Bernarda,Porras,27,Femenino,Finanzas,Jefe de Tesorería,Plazo Fijo,2018-09-01,5658.55,Trujillo,Remoto,Activo,27.34,1,1
E0091,José María,Peral,50,Femenino,Marketing,Diseñador Gráfico,Indeterminado,2023-11-01,1896.39,Trujillo,Remoto,Activo,27.62,1,1
E0092,Elodia,Tudela,46,Femenino,Recursos Humanos,Reclutador,Plazo Fijo,2021-08-21,4611.08,Lima,Remoto,Activo,44.65,1,1
E0093,Jesusa,Palau,50,Femenino,Logística,Coordinador de Transporte,Indeterminado,2023-08-04,5659.56,Iquitos,Remoto,Activo,23.88,1,1
E0094,Jordana,Duran,44,Masculino,TI,Desarrollador Backend,Plazo Fijo,2019-11-03,3327.99,Tacna,Mixto,Activo,66.37,0,0
E0095,Rico,Asenjo,29,Femenino,Finanzas,Analista Financiero,Plazo Fijo,2018-02-25,5362.15,Tacna,Presencial,Cesado,91.04,0,0
E0096,Feliciano,Oller,20,Masculino,TI,Analista de Sistemas,Plazo Fijo,2022-06-06,3310.32,Trujillo,Presencial,Activo,69.27,0,0
E0097,Marita,Morales,25,Femenino,Producción,Supervisor de Producción,Plazo Fijo,2021-11-16,4107.87,Iquitos,Remoto,Activo,3.59,1,1
E0098,Plácido,Guijarro,24,Masculino,Producción,Supervisor de Producción,Plazo Fijo,2021-12-17,4716.11,Cusco,Presencial,Activo,76.04,0,0
E0099,Dolores,Moreno,26,Femenino,Marketing,Coordinador de Producto,Indeterminado,2023-07-11,1163.17,Cusco,Presencial,Activo,37.48,0,0
E0100,Natalia,Domingo,29,Masculino,Recursos Humanos,Reclutador,Plazo Fijo,2024-10-25,1817.6,Trujillo,Presencial,Activo,24.08,0,0
E0101,Marcial,Huertas,57,Masculino,Marketing,Diseñador Gráfico,Indeterminado,2023-10-06,2224.51,Cusco,Remoto,Activo,46.53,1,1
E0102,Omar,Prieto,38,Masculino,Finanzas,Contador,Plazo Fijo,2020-01-06,2446.71,Tacna,Mixto,Activo,45.68,0,0
E0103,Roque,Águila,39,Masculino,TI,Soporte Técnico,Plazo Fijo,2018-03-08,2863.52,Arequipa,Presencial,Activo,99.27,0,0
E0104,Marcela,Molina,38,Masculino,Producción,Jefe de Línea,Indeterminado,2022-09-18,3799.26,Cusco,Presencial,Activo,74.52,0,0
E0105,Borja,Querol,38,Masculino,Recursos Humanos,Reclutador,Plazo Fijo,2024-02-10,1893.97,Piura,Mixto,Activo,72.09,0,0
E0106,Apolonia,Cid,28,Masculino,Producción,Supervisor de Producción,Indeterminado,2023-07-07,4928.26,Lima,Remoto,Activo,73.24,0,0
E0107,Quique,Carballo,25,Femenino,Logística,Coordinador de Transporte,Plazo Fijo,2023-12-07,1948.03,Iquitos,Presencial,Activo,91.35,0,0
E0108,Gema,Jurado,30,Femenino,TI,Soporte Técnico,Indeterminado,2023-12-17,3304.44,Tacna,Presencial,Cesado,96.65,0,0
E0109,Nayara,Torrents,45,Femenino,Finanzas,Contador,Plazo Fijo,2025-05-12,3650.42,Lima,Remoto,Activo,74.9,0,0
E0110,Araceli,Salvador,36,Femenino,Producción,Jefe de Línea,Indeterminado,2020-03-10,2115.48,Arequipa,Mixto,Activo,94.32,0,0
E0111,Eric,Ramírez,40,Masculino,Producción,Operario de Planta,Plazo Fijo,2023-10-02,2462.1,Chiclayo,Mixto,Cesado,4.53,0,0
E0112,Amando,Segura,22,Femenino,TI,Desarrollador Backend,Indeterminado,2022-11-08,5428.4,Arequipa,Presencial,Activo,37.1,0,0
E0113,Jeremías,Izquierdo,54,Femenino,Recursos Humanos,Asistente de Bienestar,Plazo Fijo,2023-01-26,4250.45,Trujillo,Remoto,Activo,93.91,0,0
E0114,Noelia,Acevedo,37,Masculino,Producción,Jefe de Línea,Indeterminado,2024-01-15,3184.61,Piura,Remoto,Activo,9.94,1,1
E0115,Úrsula,Pombo,43,Femenino,Finanzas,Contador,Plazo Fijo,2024-10-06,5838.81,Cusco,Presencial,Cesado,21.21,0,0
E0116,Azahar,Ríos,60,Masculino,Finanzas,Contador,Indeterminado,2018-09-08,4919.98,Piura,Presencial,Cesado,76.52,0,0
E0117,Lorenza,Grau,33,Masculino,Marketing,Diseñador Gráfico,Prácticas,2019-09-11,944.38,Trujillo,Mixto,Activo,14.47,0,0
E0118,Leandra,Poza,28,Femenino,Marketing,Especialista en Marca,Prácticas,2024-04-29,1005.34,Lima,Presencial,Activo,23.79,0,0
E0119,Rufino,Santana,40,Masculino,Marketing,Diseñador Gráfico,Indeterminado,2022-11-26,4690.51,Lima,Presencial,Activo,47.62,0,0
E0120,Epifanio,Sala,43,Masculino,TI,Analista de Sistemas,Plazo Fijo,2022-05-05,1149.86,Piura,Mixto,Activo,96.4,0,0
E0121,José,Rivero,23,Femenino,TI,Soporte Técnico,Plazo Fijo,2022-07-29,4541.87,Arequipa,Remoto,Cesado,8.08,1,1
E0122,Marc,Novoa,58,Masculino,Finanzas,Analista Financiero,Plazo Fijo,2018-12-30,4139.7,Cusco,Mixto,Activo,59.74,0,0
E0123,Florinda,Segarra,38,Femenino,Recursos Humanos,Asistente de Bienestar,Indeterminado,2018-11-25,4951.0,Iquitos,Presencial,Activo,65.09,0,0
E0124,Faustino,Ballester,55,Masculino,TI,Soporte Técnico,Plazo Fijo,2019-12-24,2648.38,Piura,Remoto,Activo,72.96,0,0
E0125,Jenaro,Méndez,40,Femenino,Logística,Coordinador de Transporte,Plazo Fijo,2022-10-25,5764.71,Cusco,Remoto,Cesado,83.18,0,0
E0126,Custodia,Carbonell,25,Femenino,Finanzas,Jefe de Tesorería,Plazo Fijo,2021-10-13,3750.8,Tacna,Presencial,Activo,41.08,0,0
E0127,Toni,Burgos,47,Masculino,Logística,Coordinador de Transporte,Indeterminado,2023-10-28,1455.25,Cusco,Remoto,Cesado,48.22,1,1
E0128,Flavia,Cuéllar,26,Femenino,Recursos Humanos,Reclutador,Plazo Fijo,2020-01-30,3840.69,Arequipa,Remoto,Activo,97.45,0,0
E0129,Zoraida,Márquez,59,Masculino,Recursos Humanos,Asistente de Bienestar,Plazo Fijo,2020-10-26,1844.71,Cusco,Presencial,Activo,35.1,0,0
E0130,Julio,Plaza,31,Masculino,Recursos Humanos,Asistente de Bienestar,Indeterminado,2021-07-12,1649.3,Iquitos,Presencial,Cesado,53.05,0,0
E0131,Loreto,Ferrández,44,Femenino,TI,Soporte Técnico,Plazo Fijo,2024-01-09,2510.0,Trujillo,Remoto,Activo,56.76,0,0
E0132,Mariano,Quintana,25,Masculino,Marketing,Especialista en Marca,Plazo Fijo,2022-10-02,1343.62,Lima,Mixto,Activo,48.57,0,0
E0133,Leonardo,Catalán,48,Femenino,Logística,Almacenero,Plazo Fijo,2025-07-10,3109.66,Arequipa,Remoto,Activo,59.31,0,0
E0134,Nico,Saura,53,Femenino,Finanzas,Analista Financiero,Indeterminado,2022-08-09,1207.74,Iquitos,Mixto,Activo,21.12,0,0
E0135,Alex,Camino,28,Femenino,Logística,Supervisor de Logística,Plazo Fijo,2021-07-05,3451.74,Arequipa,Presencial,Cesado,38.02,0,0
E0136,Íngrid,Yáñez,34,Femenino,Finanzas,Contador,Indeterminado,2021-12-02,1025.02,Lima,Remoto,Activo,57.58,0,0
E0137,Pepe,Santana,56,Femenino,Producción,Supervisor de Producción,Indeterminado,2020-10-10,1513.93,Iquitos,Remoto,Activo,17.19,1,1
E0138,Marcio,Padilla,59,Femenino,Producción,Jefe de Línea,Indeterminado,2020-02-24,5211.54,Arequipa,Remoto,Activo,40.04,1,1
E0139,Diego,Acosta,25,Femenino,Logística,Coordinador de Transporte,Indeterminado,2022-07-11,2618.66,Tacna,Presencial,Cesado,63.32,0,0
E0140,Tomás,Solsona,53,Masculino,Logística,Supervisor de Logística,Plazo Fijo,2022-02-20,1451.22,Trujillo,Presencial,Cesado,60.24,0,0
E0141,Isaura,Castells,24,Masculino,Producción,Jefe de Línea,Plazo Fijo,2024-02-03,4782.58,Chiclayo,Mixto,Activo,88.2,0,0
E0142,Consuelo,Pardo,60,Femenino,Producción,Jefe de Línea,Plazo Fijo,2019-07-01,1276.21,Trujillo,Remoto,Activo,79.63,0,0
E0143,Esmeralda,Oliveras,57,Masculino,Logística,Coordinador de Transporte,Indeterminado,2024-04-07,3271.03,Arequipa,Remoto,Cesado,83.17,0,0
E0144,Salvador,Tejero,24,Masculino,Recursos Humanos,Asistente de Bienestar,Indeterminado,2019-08-22,3872.27,Iquitos,Remoto,Activo,80.98,0,0
E0145,Leocadio,Zorrilla,32,Femenino,Recursos Humanos,Reclutador,Plazo Fijo,2019-05-19,3214.15,Trujillo,Presencial,Activo,8.43,0,0
E0146,Ester,Coronado,31,Masculino,Marketing,Coordinador de Producto,Indeterminado,2020-08-06,3587.03,Chiclayo,Remoto,Activo,91.79,0,0
E0147,Nayara,Hoyos,44,Femenino,Logística,Coordinador de Transporte,Indeterminado,2018-05-05,4211.84,Lima,Mixto,Activo,55.8,0,0
E0148,Bernardita,Meléndez,44,Femenino,Logística,Coordinador de Transporte,Indeterminado,2022-08-13,1343.22,Trujillo,Remoto,Activo,31.02,1,1
E0149,Leandra,Prada,45,Masculino,Recursos Humanos,Asistente de Bienestar,Plazo Fijo,2024-10-19,3763.73,Arequipa,Remoto,Activo,67.01,0,0
E0150,Macarena,Anguita,53,Masculino,Producción,Supervisor de Producción,Plazo Fijo,2021-10-02,2764.47,Iquitos,Mixto,Activo,95.12,0,0
E0151,Artemio,Galvez,41,Femenino,Marketing,Especialista en Marca,Indeterminado,2020-03-16,1321.23,Trujillo,Presencial,Activo,53.98,0,0
E0152,Salomón,Conde,53,Masculino,Producción,Jefe de Línea,Indeterminado,2020-01-25,2839.97,Trujillo,Mixto,Cesado,69.28,0,0
E0153,Primitiva,Sierra,59,Masculino,Producción,Jefe de Línea,Indeterminado,2018-12-19,2777.0,Lima,Remoto,Activo,61.06,0,0
E0154,Jose Luis,Serra,48,Masculino,Recursos Humanos,Analista de RRHH,Indeterminado,2020-08-05,5513.15,Cusco,Remoto,Activo,94.71,0,0
E0155,Rolando,Larrea,48,Femenino,Logística,Supervisor de Logística,Indeterminado,2021-08-26,5071.64,Iquitos,Presencial,Activo,5.22,0,0
E0156,Eliseo,Gómez,50,Femenino,Recursos Humanos,Analista de RRHH,Indeterminado,2019-11-28,1355.25,Arequipa,Remoto,Activo,90.53,0,0
E0157,Gonzalo,Sanjuan,29,Femenino,Finanzas,Analista Financiero,Plazo Fijo,2025-02-06,5647.49,Chiclayo,Remoto,Cesado,50.2,0,0
E0158,José,Corral,35,Femenino,Finanzas,Contador,Indeterminado,2019-02-23,2545.73,Piura,Presencial,Activo,65.0,0,0
E0159,Isidro,Galan,29,Masculino,Finanzas,Contador,Plazo Fijo,2023-03-08,5143.73,Chiclayo,Mixto,Activo,0.53,0,0
E0160,Tania,Moles,25,Masculino,Logística,Almacenero,Plazo Fijo,2022-04-20,5696.95,Trujillo,Mixto,Cesado,28.81,0,0
E0161,Teófila,Tapia,39,Masculino,Finanzas,Analista Financiero,Plazo Fijo,2021-02-14,4955.07,Iquitos,Mixto,Cesado,83.67,0,0
E0162,María Belén,Cañellas,51,Masculino,Producción,Supervisor de Producción,Plazo Fijo,2021-07-08,1657.93,Piura,Mixto,Cesado,35.28,0,0
E0163,Alma,Salazar,56,Femenino,Marketing,Coordinador de Producto,Indeterminado,2023-11-12,5871.5,Arequipa,Mixto,Activo,54.41,0,0
E0164,Mario,Julián,52,Masculino,TI,Soporte Técnico,Plazo Fijo,2020-02-27,2891.49,Lima,Mixto,Activo,1.62,0,0
E0165,Inmaculada,Uribe,24,Femenino,Marketing,Coordinador de Producto,Plazo Fijo,2021-10-28,4657.4,Arequipa,Mixto,Cesado,35.23,0,0
E0166,Fernanda,Lara,41,Masculino,Producción,Jefe de Línea,Indeterminado,2023-12-09,1854.15,Chiclayo,Mixto,Cesado,77.62,0,0
E0167,Cecilia,Agustí,49,Masculino,Logística,Almacenero,Plazo Fijo,2025-05-30,5420.96,Lima,Presencial,Activo,51.54,0,0
E0168,Buenaventura,León,54,Femenino,Logística,Almacenero,Indeterminado,2020-10-16,2739.86,Piura,Remoto,Activo,33.19,1,1
E0169,Ramona,Viña,27,Femenino,TI,Soporte Técnico,Indeterminado,2024-01-12,2648.92,Chiclayo,Remoto,Activo,49.75,1,0
E0170,Ileana,Canales,53,Femenino,Finanzas,Jefe de Tesorería,Indeterminado,2022-11-03,3113.18,Iquitos,Presencial,Activo,32.12,0,0
E0171,Sebastián,Millán,25,Femenino,Producción,Jefe de Línea,Plazo Fijo,2018-05-20,3985.29,Cusco,Remoto,Cesado,44.39,1,1
E0172,Pablo,Cuenca,48,Masculino,Producción,Jefe de Línea,Indeterminado,2020-05-03,4172.11,Iquitos,Remoto,Cesado,63.75,0,0
E0173,Rosenda,Ballesteros,43,Masculino,Finanzas,Analista Financiero,Indeterminado,2018-09-06,1569.99,Chiclayo,Presencial,Activo,36.63,0,0
E0174,Omar,Domingo,44,Masculino,Recursos Humanos,Analista de RRHH,Indeterminado,2022-06-03,2816.11,Chiclayo,Remoto,Activo,52.95,0,0
E0175,Ciro,Acedo,45,Femenino,Producción,Jefe de Línea,Indeterminado,2019-06-05,1061.38,Piura,Presencial,Activo,38.7,0,0
E0176,Angelita,Cueto,55,Masculino,Logística,Supervisor de Logística,Plazo Fijo,2018-11-10,5981.57,Chiclayo,Presencial,Activo,99.86,0,0
E0177,Amanda,Diéguez,32,Masculino,Marketing,Especialista en Marca,Plazo Fijo,2022-07-17,5486.3,Chiclayo,Presencial,Activo,81.05,0,0
E0178,Amor,Escolano,40,Femenino,Producción,Operario de Planta,Indeterminado,2018-03-02,5246.41,Cusco,Remoto,Activo,50.88,0,0
